date,no_cal,std_conc_ppb,as_o_cps,as_o_blk_corrected
2020-01-08T00:00:00Z,1,0,13.750007183754,0
2020-01-08T00:00:00Z,1,0.25,1647.59505017362,1633.845042989866
2020-01-08T00:00:00Z,1,0.5,3357.39463341168,3343.644626227926
2020-01-08T00:00:00Z,1,1.25,8339.43403256304,8325.684025379285
2020-01-08T00:00:00Z,1,2.5,16891.2380207534,16877.488013569648
2020-01-08T00:00:00Z,1,5,34366.7992883969,34353.04928121314
2020-01-08T00:00:00Z,2,0,22.7500184887653,0
2020-01-08T00:00:00Z,2,0.25,1463.82499502599,1441.0749765372245
2020-01-08T00:00:00Z,2,0.5,2908.04599407779,2885.2959755890247
2020-01-08T00:00:00Z,2,1.25,7427.1803167804,7404.430298291635
2020-01-08T00:00:00Z,2,2.5,14724.8353077861,14702.085289297334
2020-01-08T00:00:00Z,2,5,30092.4148925624,30069.664874073635
2020-01-08T00:00:00Z,3,0,27.7500272037769,0
2020-01-08T00:00:00Z,3,0.25,1375.06622817989,1347.3162009761131
2020-01-08T00:00:00Z,3,0.5,2748.76452309028,2721.014495886503
2020-01-08T00:00:00Z,3,1.25,7016.22273652141,6988.472709317633
2020-01-08T00:00:00Z,3,2.5,13455.5844239878,13427.834396784023
2020-01-08T00:00:00Z,3,5,27285.0340898334,27257.284062629624
2019-11-20T00:00:00Z,1,0,8.25000240625071,0
2019-11-20T00:00:00Z,1,0.25,1344.06327669896,1335.8132742927091
2019-11-20T00:00:00Z,1,0.5,2641.74427063238,2633.4942682261294
2019-11-20T00:00:00Z,1,1.25,6669.05736984709,6660.807367440839
2019-11-20T00:00:00Z,1,2.5,12986.1524982831,12977.90249587685
2019-11-20T00:00:00Z,1,5,26568.4360629695,26560.18606056325
2020-02-27T00:00:00Z,1,0,11.5000046550019,0
2020-02-27T00:00:00Z,1,0.25,2591.23507736214,2579.7350727071384
2020-02-27T00:00:00Z,1,0.5,5132.42204486674,5120.922040211738
2020-02-27T00:00:00Z,1,1.25,13426.5595131934,13415.0595085384
2020-02-27T00:00:00Z,1,2.5,26346.0225557264,26334.522551071397
2020-02-27T00:00:00Z,1,5,54248.5646079789,54237.064603323895
2020-02-27T00:00:00Z,2,0,12.5000058275029,0
2020-02-27T00:00:00Z,2,0.25,2402.20201774449,2389.7020119169874
2020-02-27T00:00:00Z,2,0.5,4843.07091549623,4830.570909668727
2020-02-27T00:00:00Z,2,1.25,12528.9917960102,12516.491790182696
2020-02-27T00:00:00Z,2,2.5,24558.091823612,24545.591817784498
2020-02-27T00:00:00Z,2,5,49120.5558390931,49108.05583326559
